Ref_Date,GEO,SEX,CAUSES,UNIT,Value
2009,Ontario,Both sexes,Drowning,Number of potential years of life lost,34298.0
2000,Ontario,Males,Unintentional injuries,Number of potential years of life lost,38974.0
2001,Ontario,Males,Automobile accident,Number of potential years of life lost,38760.0
2002,Ontario,Males,Unintentional injuries,Number of potential years of life lost,39512.0
2003,Ontario,Males,Unintentional injuries,Number of potential years of life lost,39536.0
2004,Ontario,Males,Automobile accident,Number of potential years of life lost,40258.0
2005,Ontario,Males,Unintentional injuries,Number of potential years of life lost,43182.0
2006,Ontario,Males,Unintentional injuries,Number of potential years of life lost,42638.0
2007,Ontario,Males,Automobile accident,Number of potential years of life lost,44522.0
2008,Ontario,Males,Stroke,Number of potential years of life lost,38503.0
2009,Ontario,Males,Unintentional injuries,Number of potential years of life lost,41023.0
2000,Ontario,Males,Drowning,Number of potential years of life lost,22483.0
2001,Ontario,Males,Drowning,Number of potential years of life lost,22178.0
2002,Ontario,Males,Drowning,Number of potential years of life lost,21800.0
2003,Ontario,Males,Drowning,Number of potential years of life lost,22770.0
2004,Ontario,Males,Zombie attack,Number of potential years of life lost,23700.0
2005,Ontario,Males,Drowning,Number of potential years of life lost,24535.0
2006,Ontario,Males,Drowning,Number of potential years of life lost,22523.0
2007,Ontario,Males,Drowning,Number of potential years of life lost,23963.0
2008,Ontario,Males,Drowning,Number of potential years of life lost,21973.0
2009,Ontario,Males,Drowning,Number of potential years of life lost,25293.0
2000,Ontario,Females,Automobile accident,Number of potential years of life lost,13266.0
2001,Ontario,Females,Unintentional injuries,Number of potential years of life lost,13532.0
2002,Ontario,Females,Unintentional injuries,Number of potential years of life lost,15424.0
2003,Ontario,Females,Automobile accident,Number of potential years of life lost,14510.0
2004,Ontario,Females,Unintentional injuries,Number of potential years of life lost,12983.0
2005,Ontario,Females,Unintentional injuries,Number of potential years of life lost,14674.0
2006,Ontario,Females,Automobile accident,Number of potential years of life lost,15927.0
2007,Ontario,Females,Unintentional injuries,Number of potential years of life lost,16578.0
2008,Ontario,Females,Stroke,Number of potential years of life lost,15863.0
2009,Ontario,Females,Automobile accident,Number of potential years of life lost,14014.0
2000,Ontario,Females,Drowning,Number of potential years of life lost,6938.0
2001,Ontario,Females,Drowning,Number of potential years of life lost,7585.0
2002,Ontario,Females,Drowning,Number of potential years of life lost,6545.0
2003,Ontario,Females,Drowning,Number of potential years of life lost,7258.0
2004,Ontario,Females,Drowning,Number of potential years of life lost,7415.0
2005,Ontario,Females,Drowning,Number of potential years of life lost,8155.0
2006,Ontario,Females,Drowning,Number of potential years of life lost,7723.0
2007,Ontario,Females,Drowning,Number of potential years of life lost,8278.0
2008,Ontario,Females,Drowning,Number of potential years of life lost,7263.0
2009,Ontario,Females,Zombie attack,Number of potential years of life lost,9005.0
2000,Manitoba,Both sexes,Unintentional injuries,Number of potential years of life lost,9762.0
2001,Manitoba,Both sexes,Unintentional injuries,Number of potential years of life lost,10063.0
2002,Manitoba,Both sexes,Automobile accident,Number of potential years of life lost,9330.0
2003,Manitoba,Both sexes,Unintentional injuries,Number of potential years of life lost,8155.0
2004,Manitoba,Both sexes,Unintentional injuries,Number of potential years of life lost,10107.0
2005,Manitoba,Both sexes,Automobile accident,Number of potential years of life lost,8966.0
2006,Manitoba,Both sexes,Unintentional injuries,Number of potential years of life lost,8835.0
2007,Manitoba,Both sexes,Unintentional injuries,Number of potential years of life lost,9959.0
2008,Manitoba,Both sexes,Automobile accident,Number of potential years of life lost,9047.0
2009,Manitoba,Both sexes,Stroke,Number of potential years of life lost,9512.0
2000,Manitoba,Both sexes,Drowning,Number of potential years of life lost,4860.0
2001,Manitoba,Both sexes,Drowning,Number of potential years of life lost,4028.0
2002,Manitoba,Both sexes,Drowning,Number of potential years of life lost,4448.0
2003,Manitoba,Both sexes,Drowning,Number of potential years of life lost,5765.0
2004,Manitoba,Both sexes,Drowning,Number of potential years of life lost,4370.0
2005,Manitoba,Both sexes,Drowning,Number of potential years of life lost,6225.0
2006,Manitoba,Both sexes,Drowning,Number of potential years of life lost,4920.0
2007,Manitoba,Both sexes,Drowning,Number of potential years of life lost,4100.0
2008,Manitoba,Both sexes,Drowning,Number of potential years of life lost,5183.0
2009,Manitoba,Both sexes,Drowning,Number of potential years of life lost,6107.0
2000,Manitoba,Males,Unintentional injuries,Number of potential years of life lost,7246.0
2001,Manitoba,Males,Automobile accident,Number of potential years of life lost,7430.0
2002,Manitoba,Males,Unintentional injuries,Number of potential years of life lost,6808.0
2003,Manitoba,Males,Unintentional injuries,Number of potential years of life lost,5583.0
2004,Manitoba,Males,Automobile accident,Number of potential years of life lost,7191.0
2005,Manitoba,Males,Unintentional injuries,Number of potential years of life lost,6077.0
2006,Manitoba,Males,Unintentional injuries,Number of potential years of life lost,5922.0
2007,Manitoba,Males,Automobile accident,Number of potential years of life lost,6621.0
2008,Manitoba,Males,Unintentional injuries,Number of potential years of life lost,6961.0
2009,Manitoba,Males,Stroke,Number of potential years of life lost,6193.0
2000,Manitoba,Males,Drowning,Number of potential years of life lost,3602.0
2001,Manitoba,Males,Drowning,Number of potential years of life lost,2885.0
2002,Manitoba,Males,Drowning,Number of potential years of life lost,3008.0
2003,Manitoba,Males,Drowning,Number of potential years of life lost,4448.0
2004,Manitoba,Males,Zombie attack,Number of potential years of life lost,2953.0
2005,Manitoba,Males,Drowning,Number of potential years of life lost,4753.0
2006,Manitoba,Males,Drowning,Number of potential years of life lost,3725.0
2007,Manitoba,Males,Drowning,Number of potential years of life lost,3048.0
2008,Manitoba,Males,Drowning,Number of potential years of life lost,3228.0
2009,Manitoba,Males,Drowning,Number of potential years of life lost,3890.0
2000,Manitoba,Females,Automobile accident,Number of potential years of life lost,2516.0
2001,Manitoba,Females,Unintentional injuries,Number of potential years of life lost,2633.0
2002,Manitoba,Females,Unintentional injuries,Number of potential years of life lost,2521.0
2003,Manitoba,Females,Automobile accident,Number of potential years of life lost,2572.0
2004,Manitoba,Females,Unintentional injuries,Number of potential years of life lost,2916.0
2005,Manitoba,Females,Unintentional injuries,Number of potential years of life lost,2889.0
2006,Manitoba,Females,Automobile accident,Number of potential years of life lost,2913.0
2007,Manitoba,Females,Unintentional injuries,Number of potential years of life lost,3338.0
2008,Manitoba,Females,Unintentional injuries,Number of potential years of life lost,2087.0
2009,Manitoba,Females,Automobile accident,Number of potential years of life lost,3319.0
2000,Manitoba,Females,Drowning,Number of potential years of life lost,1258.0
2001,Manitoba,Females,Drowning,Number of potential years of life lost,1143.0
2002,Manitoba,Females,Drowning,Number of potential years of life lost,1440.0
2003,Manitoba,Females,Drowning,Number of potential years of life lost,1318.0
2004,Manitoba,Females,Drowning,Number of potential years of life lost,1418.0
2005,Manitoba,Females,Drowning,Number of potential years of life lost,1473.0
2006,Manitoba,Females,Drowning,Number of potential years of life lost,1195.0
2007,Manitoba,Females,Drowning,Number of potential years of life lost,1053.0
2008,Manitoba,Females,Drowning,Number of potential years of life lost,1955.0
2009,Manitoba,Females,Zombie attack,Number of potential years of life lost,2218.0
2000,Saskatchewan,Both sexes,Stroke,Number of potential years of life lost,10138.0
2001,Saskatchewan,Both sexes,Unintentional injuries,Number of potential years of life lost,9425.0
2002,Saskatchewan,Both sexes,Automobile accident,Number of potential years of life lost,9408.0
2003,Saskatchewan,Both sexes,Unintentional injuries,Number of potential years of life lost,9818.0
2004,Saskatchewan,Both sexes,Unintentional injuries,Number of potential years of life lost,8726.0
2005,Saskatchewan,Both sexes,Automobile accident,Number of potential years of life lost,9942.0
2006,Saskatchewan,Both sexes,Unintentional injuries,Number of potential years of life lost,9226.0
2007,Saskatchewan,Both sexes,Unintentional injuries,Number of potential years of life lost,9339.0
2008,Saskatchewan,Both sexes,Automobile accident,Number of potential years of life lost,11231.0
2009,Saskatchewan,Both sexes,Unintentional injuries,Number of potential years of life lost,9869.0
2000,Saskatchewan,Both sexes,Drowning,Number of potential years of life lost,4420.0
2001,Saskatchewan,Both sexes,Drowning,Number of potential years of life lost,3425.0
2002,Saskatchewan,Both sexes,Drowning,Number of potential years of life lost,3593.0
2003,Saskatchewan,Both sexes,Drowning,Number of potential years of life lost,3745.0
2004,Saskatchewan,Both sexes,Drowning,Number of potential years of life lost,4185.0
2005,Saskatchewan,Both sexes,Drowning,Number of potential years of life lost,3995.0
2006,Saskatchewan,Both sexes,Drowning,Number of potential years of life lost,3848.0
2007,Saskatchewan,Both sexes,Drowning,Number of potential years of life lost,4690.0
2008,Saskatchewan,Both sexes,Drowning,Number of potential years of life lost,4315.0
2009,Saskatchewan,Both sexes,Drowning,Number of potential years of life lost,5095.0
2000,Saskatchewan,Males,Stroke,Number of potential years of life lost,7179.0
2001,Saskatchewan,Males,Automobile accident,Number of potential years of life lost,7114.0
2002,Saskatchewan,Males,Unintentional injuries,Number of potential years of life lost,6506.0
2003,Saskatchewan,Males,Unintentional injuries,Number of potential years of life lost,7458.0
2004,Saskatchewan,Males,Automobile accident,Number of potential years of life lost,5880.0
2005,Saskatchewan,Males,Unintentional injuries,Number of potential years of life lost,6779.0
2006,Saskatchewan,Males,Unintentional injuries,Number of potential years of life lost,6858.0
2007,Saskatchewan,Males,Automobile accident,Number of potential years of life lost,6754.0
2008,Saskatchewan,Males,Unintentional injuries,Number of potential years of life lost,7424.0
2009,Saskatchewan,Males,Unintentional injuries,Number of potential years of life lost,6859.0
2000,Saskatchewan,Males,Drowning,Number of potential years of life lost,3250.0
2001,Saskatchewan,Males,Drowning,Number of potential years of life lost,2913.0
2002,Saskatchewan,Males,Drowning,Number of potential years of life lost,2823.0
2003,Saskatchewan,Males,Drowning,Number of potential years of life lost,3015.0
2004,Saskatchewan,Males,Zombie attack,Number of potential years of life lost,3190.0
2005,Saskatchewan,Males,Drowning,Number of potential years of life lost,2873.0
2006,Saskatchewan,Males,Drowning,Number of potential years of life lost,2975.0
2007,Saskatchewan,Males,Drowning,Number of potential years of life lost,3223.0
2008,Saskatchewan,Males,Drowning,Number of potential years of life lost,2805.0
2009,Saskatchewan,Males,Drowning,Number of potential years of life lost,3923.0
2000,Saskatchewan,Females,Automobile accident,Number of potential years of life lost,2959.0
2001,Saskatchewan,Females,Stroke,Number of potential years of life lost,2311.0
2002,Saskatchewan,Females,Unintentional injuries,Number of potential years of life lost,2902.0
2003,Saskatchewan,Females,Automobile accident,Number of potential years of life lost,2360.0
2004,Saskatchewan,Females,Unintentional injuries,Number of potential years of life lost,2846.0
2005,Saskatchewan,Females,Unintentional injuries,Number of potential years of life lost,3163.0
2006,Saskatchewan,Females,Automobile accident,Number of potential years of life lost,2367.0
2007,Saskatchewan,Females,Unintentional injuries,Number of potential years of life lost,2585.0
2008,Saskatchewan,Females,Unintentional injuries,Number of potential years of life lost,3808.0
2009,Saskatchewan,Females,Automobile accident,Number of potential years of life lost,3009.0
2000,Saskatchewan,Females,Drowning,Number of potential years of life lost,1170.0
2001,Saskatchewan,Females,Drowning,Number of potential years of life lost,513.0
2002,Saskatchewan,Females,Drowning,Number of potential years of life lost,770.0
2003,Saskatchewan,Females,Drowning,Number of potential years of life lost,730.0
2004,Saskatchewan,Females,Drowning,Number of potential years of life lost,995.0
2005,Saskatchewan,Females,Drowning,Number of potential years of life lost,1123.0
2006,Saskatchewan,Females,Drowning,Number of potential years of life lost,873.0
2007,Saskatchewan,Females,Drowning,Number of potential years of life lost,1468.0
2008,Saskatchewan,Females,Drowning,Number of potential years of life lost,1510.0
2009,Saskatchewan,Females,Zombie attack,Number of potential years of life lost,1173.0
2000,Alberta,Both sexes,Unintentional injuries,Number of potential years of life lost,25526.0
2001,Alberta,Both sexes,Stroke,Number of potential years of life lost,28320.0
2002,Alberta,Both sexes,Automobile accident,Number of potential years of life lost,26645.0
2003,Alberta,Both sexes,Unintentional injuries,Number of potential years of life lost,22800.0
2004,Alberta,Both sexes,Unintentional injuries,Number of potential years of life lost,21503.0
2005,Alberta,Both sexes,Automobile accident,Number of potential years of life lost,24651.0
2006,Alberta,Both sexes,Unintentional injuries,Number of potential years of life lost,23267.0
2007,Alberta,Both sexes,Unintentional injuries,Number of potential years of life lost,26151.0
2008,Alberta,Both sexes,Automobile accident,Number of potential years of life lost,23242.0
2009,Alberta,Both sexes,Unintentional injuries,Number of potential years of life lost,20799.0
2000,Alberta,Both sexes,Drowning,Number of potential years of life lost,12973.0
2001,Alberta,Both sexes,Drowning,Number of potential years of life lost,16325.0
2002,Alberta,Both sexes,Drowning,Number of potential years of life lost,14413.0
2003,Alberta,Both sexes,Drowning,Number of potential years of life lost,13993.0
2004,Alberta,Both sexes,Drowning,Number of potential years of life lost,14610.0
2005,Alberta,Both sexes,Drowning,Number of potential years of life lost,13610.0
2006,Alberta,Both sexes,Drowning,Number of potential years of life lost,11965.0
2007,Alberta,Both sexes,Drowning,Number of potential years of life lost,14468.0
2008,Alberta,Both sexes,Drowning,Number of potential years of life lost,16158.0
2009,Alberta,Both sexes,Drowning,Number of potential years of life lost,15100.0
2000,Alberta,Males,Unintentional injuries,Number of potential years of life lost,17981.0
2001,Alberta,Males,Automobile accident,Number of potential years of life lost,20979.0
2002,Alberta,Males,Stroke,Number of potential years of life lost,19249.0
2003,Alberta,Males,Unintentional injuries,Number of potential years of life lost,16535.0
2004,Alberta,Males,Automobile accident,Number of potential years of life lost,16287.0
2005,Alberta,Males,Unintentional injuries,Number of potential years of life lost,18089.0
2006,Alberta,Males,Unintentional injuries,Number of potential years of life lost,16926.0
2007,Alberta,Males,Automobile accident,Number of potential years of life lost,19385.0
2008,Alberta,Males,Unintentional injuries,Number of potential years of life lost,17942.0
2009,Alberta,Males,Unintentional injuries,Number of potential years of life lost,15383.0
2000,Alberta,Males,Drowning,Number of potential years of life lost,9520.0
2001,Alberta,Males,Drowning,Number of potential years of life lost,12948.0
2002,Alberta,Males,Drowning,Number of potential years of life lost,11260.0
2003,Alberta,Males,Drowning,Number of potential years of life lost,10653.0
2004,Alberta,Males,Zombie attack,Number of potential years of life lost,11218.0
2005,Alberta,Males,Drowning,Number of potential years of life lost,10015.0
2006,Alberta,Males,Drowning,Number of potential years of life lost,8753.0
2007,Alberta,Males,Drowning,Number of potential years of life lost,10435.0
2008,Alberta,Males,Drowning,Number of potential years of life lost,12080.0
2009,Alberta,Males,Drowning,Number of potential years of life lost,11693.0
2000,Alberta,Females,Automobile accident,Number of potential years of life lost,7545.0
2001,Alberta,Females,Unintentional injuries,Number of potential years of life lost,7340.0
2002,Alberta,Females,Stroke,Number of potential years of life lost,7396.0
2003,Alberta,Females,Automobile accident,Number of potential years of life lost,6265.0
2004,Alberta,Females,Unintentional injuries,Number of potential years of life lost,5216.0
2005,Alberta,Females,Unintentional injuries,Number of potential years of life lost,6562.0
2006,Alberta,Females,Automobile accident,Number of potential years of life lost,6341.0
2007,Alberta,Females,Unintentional injuries,Number of potential years of life lost,6766.0
2008,Alberta,Females,Unintentional injuries,Number of potential years of life lost,5300.0
2009,Alberta,Females,Automobile accident,Number of potential years of life lost,5416.0
2000,Alberta,Females,Drowning,Number of potential years of life lost,3453.0
2001,Alberta,Females,Drowning,Number of potential years of life lost,3378.0
2002,Alberta,Females,Drowning,Number of potential years of life lost,3153.0
2003,Alberta,Females,Drowning,Number of potential years of life lost,3340.0
2004,Alberta,Females,Drowning,Number of potential years of life lost,3393.0
2005,Alberta,Females,Drowning,Number of potential years of life lost,3595.0
2006,Alberta,Females,Drowning,Number of potential years of life lost,3213.0
2007,Alberta,Females,Drowning,Number of potential years of life lost,4033.0
2008,Alberta,Females,Drowning,Number of potential years of life lost,4078.0
2009,Alberta,Females,Zombie attack,Number of potential years of life lost,3408.0
2000,British Columbia,Both sexes,Unintentional injuries,Number of potential years of life lost,32256.0
2001,British Columbia,Both sexes,Unintentional injuries,Number of potential years of life lost,34335.0
2002,British Columbia,Both sexes,Automobile accident,Number of potential years of life lost,33413.0
2003,British Columbia,Both sexes,Stroke,Number of potential years of life lost,31297.0
2004,British Columbia,Both sexes,Unintentional injuries,Number of potential years of life lost,26700.0
2005,British Columbia,Both sexes,Automobile accident,Number of potential years of life lost,28349.0
2006,British Columbia,Both sexes,Unintentional injuries,Number of potential years of life lost,25363.0
2007,British Columbia,Both sexes,Unintentional injuries,Number of potential years of life lost,28687.0
2008,British Columbia,Both sexes,Automobile accident,Number of potential years of life lost,29614.0
2009,British Columbia,Both sexes,Unintentional injuries,Number of potential years of life lost,28185.0
2000,British Columbia,Both sexes,Drowning,Number of potential years of life lost,13370.0
2001,British Columbia,Both sexes,Drowning,Number of potential years of life lost,12403.0
2002,British Columbia,Both sexes,Drowning,Number of potential years of life lost,14360.0
2003,British Columbia,Both sexes,Drowning,Number of potential years of life lost,13520.0
2004,British Columbia,Both sexes,Drowning,Number of potential years of life lost,12955.0
2005,British Columbia,Both sexes,Drowning,Number of potential years of life lost,11455.0
2006,British Columbia,Both sexes,Drowning,Number of potential years of life lost,9815.0
2007,British Columbia,Both sexes,Drowning,Number of potential years of life lost,12453.0
2008,British Columbia,Both sexes,Drowning,Number of potential years of life lost,12283.0
2009,British Columbia,Both sexes,Drowning,Number of potential years of life lost,13705.0
2000,British Columbia,Males,Unintentional injuries,Number of potential years of life lost,24205.0
2001,British Columbia,Males,Automobile accident,Number of potential years of life lost,25318.0
2002,British Columbia,Males,Unintentional injuries,Number of potential years of life lost,25034.0
2003,British Columbia,Males,Stroke,Number of potential years of life lost,23487.0
2004,British Columbia,Males,Automobile accident,Number of potential years of life lost,20150.0
2005,British Columbia,Males,Unintentional injuries,Number of potential years of life lost,20871.0
2006,British Columbia,Males,Unintentional injuries,Number of potential years of life lost,19529.0
2007,British Columbia,Males,Automobile accident,Number of potential years of life lost,20982.0
2008,British Columbia,Males,Unintentional injuries,Number of potential years of life lost,21508.0
2009,British Columbia,Males,Unintentional injuries,Number of potential years of life lost,20517.0
2000,British Columbia,Males,Drowning,Number of potential years of life lost,9953.0
2001,British Columbia,Males,Drowning,Number of potential years of life lost,9753.0
2002,British Columbia,Males,Drowning,Number of potential years of life lost,10793.0
2003,British Columbia,Males,Drowning,Number of potential years of life lost,10420.0
2004,British Columbia,Males,Zombie attack,Number of potential years of life lost,10308.0
2005,British Columbia,Males,Drowning,Number of potential years of life lost,8505.0
2006,British Columbia,Males,Drowning,Number of potential years of life lost,7793.0
2007,British Columbia,Males,Drowning,Number of potential years of life lost,9025.0
2008,British Columbia,Males,Drowning,Number of potential years of life lost,9270.0
2009,British Columbia,Males,Drowning,Number of potential years of life lost,10583.0
2000,British Columbia,Females,Automobile accident,Number of potential years of life lost,8051.0
2001,British Columbia,Females,Unintentional injuries,Number of potential years of life lost,9018.0
2002,British Columbia,Females,Unintentional injuries,Number of potential years of life lost,8379.0
2003,British Columbia,Females,Automobile accident,Number of potential years of life lost,7810.0
2004,British Columbia,Females,Stroke,Number of potential years of life lost,6550.0
2005,British Columbia,Females,Unintentional injuries,Number of potential years of life lost,7478.0
2006,British Columbia,Females,Automobile accident,Number of potential years of life lost,5835.0
2007,British Columbia,Females,Unintentional injuries,Number of potential years of life lost,7705.0
2008,British Columbia,Females,Unintentional injuries,Number of potential years of life lost,8107.0
2009,British Columbia,Females,Automobile accident,Number of potential years of life lost,7668.0
2000,British Columbia,Females,Drowning,Number of potential years of life lost,3418.0
2001,British Columbia,Females,Drowning,Number of potential years of life lost,2650.0
2002,British Columbia,Females,Drowning,Number of potential years of life lost,3568.0
2003,British Columbia,Females,Drowning,Number of potential years of life lost,3100.0
2004,British Columbia,Females,Drowning,Number of potential years of life lost,2648.0
2005,British Columbia,Females,Drowning,Number of potential years of life lost,2950.0
2006,British Columbia,Females,Drowning,Number of potential years of life lost,2023.0
2007,British Columbia,Females,Drowning,Number of potential years of life lost,3428.0
2008,British Columbia,Females,Drowning,Number of potential years of life lost,3013.0
2009,British Columbia,Females,Zombie attack,Number of potential years of life lost,3123.0
2000,Yukon,Both sexes,Unintentional injuries,Number of potential years of life lost,528.0
2001,Yukon,Both sexes,Unintentional injuries,Number of potential years of life lost,130.0
2002,Yukon,Both sexes,Automobile accident,Number of potential years of life lost,288.0
2003,Yukon,Both sexes,Unintentional injuries,Number of potential years of life lost,558.0
2004,Yukon,Both sexes,Stroke,Number of potential years of life lost,757.0
2005,Yukon,Both sexes,Automobile accident,Number of potential years of life lost,573.0
2006,Yukon,Both sexes,Unintentional injuries,Number of potential years of life lost,658.0
2007,Yukon,Both sexes,Unintentional injuries,Number of potential years of life lost,528.0
2008,Yukon,Both sexes,Automobile accident,Number of potential years of life lost,485.0
2009,Yukon,Both sexes,Unintentional injuries,Number of potential years of life lost,615.0
2000,Yukon,Both sexes,Drowning,Number of potential years of life lost,283.0
2001,Yukon,Both sexes,Drowning,Number of potential years of life lost,125.0
2002,Yukon,Both sexes,Drowning,Number of potential years of life lost,200.0
2003,Yukon,Both sexes,Drowning,Number of potential years of life lost,180.0
2004,Yukon,Both sexes,Drowning,Number of potential years of life lost,153.0
2005,Yukon,Both sexes,Drowning,Number of potential years of life lost,173.0
2006,Yukon,Both sexes,Drowning,Number of potential years of life lost,73.0
2007,Yukon,Both sexes,Drowning,Number of potential years of life lost,80.0
2008,Yukon,Both sexes,Drowning,Number of potential years of life lost,25.0
2009,Yukon,Both sexes,Drowning,Number of potential years of life lost,45.0
2000,Yukon,Males,Unintentional injuries,Number of potential years of life lost,428.0
2001,Yukon,Males,Automobile accident,Number of potential years of life lost,118.0
2002,Yukon,Males,Unintentional injuries,Number of potential years of life lost,218.0
2003,Yukon,Males,Unintentional injuries,Number of potential years of life lost,420.0
2004,Yukon,Males,Automobile accident,Number of potential years of life lost,507.0
2005,Yukon,Males,Stroke,Number of potential years of life lost,448.0
2006,Yukon,Males,Unintentional injuries,Number of potential years of life lost,360.0
2007,Yukon,Males,Automobile accident,Number of potential years of life lost,313.0
2008,Yukon,Males,Unintentional injuries,Number of potential years of life lost,393.0
2009,Yukon,Males,Unintentional injuries,Number of potential years of life lost,318.0
2000,Yukon,Males,Drowning,Number of potential years of life lost,240.0
2001,Yukon,Males,Drowning,Number of potential years of life lost,103.0
2002,Yukon,Males,Drowning,Number of potential years of life lost,135.0
2003,Yukon,Males,Drowning,Number of potential years of life lost,180.0
2004,Yukon,Males,Zombie attack,Number of potential years of life lost,153.0
2005,Yukon,Males,Drowning,Number of potential years of life lost,145.0
2006,Yukon,Males,Drowning,Number of potential years of life lost,45.0
2007,Yukon,Males,Drowning,Number of potential years of life lost,80.0
2008,Yukon,Males,Drowning,Number of potential years of life lost,25.0
2009,Yukon,Males,Drowning,Number of potential years of life lost,45.0
2000,Yukon,Females,Automobile accident,Number of potential years of life lost,100.0
2001,Yukon,Females,Unintentional injuries,Number of potential years of life lost,13.0
2002,Yukon,Females,Unintentional injuries,Number of potential years of life lost,70.0
2003,Yukon,Females,Automobile accident,Number of potential years of life lost,138.0
2004,Yukon,Females,Unintentional injuries,Number of potential years of life lost,250.0
2005,Yukon,Females,Stroke,Number of potential years of life lost,125.0
2006,Yukon,Females,Automobile accident,Number of potential years of life lost,298.0
2007,Yukon,Females,Unintentional injuries,Number of potential years of life lost,215.0
2008,Yukon,Females,Unintentional injuries,Number of potential years of life lost,93.0
2009,Yukon,Females,Automobile accident,Number of potential years of life lost,298.0
2000,Yukon,Females,Drowning,Number of potential years of life lost,43.0
2001,Yukon,Females,Drowning,Number of potential years of life lost,23.0
2002,Yukon,Females,Drowning,Number of potential years of life lost,65.0
2003,Yukon,Females,Drowning,Number of potential years of life lost,0.0
2004,Yukon,Females,Drowning,Number of potential years of life lost,0.0
2005,Yukon,Females,Drowning,Number of potential years of life lost,28.0
2006,Yukon,Females,Drowning,Number of potential years of life lost,28.0
2007,Yukon,Females,Drowning,Number of potential years of life lost,0.0
2008,Yukon,Females,Drowning,Number of potential years of life lost,0.0
2009,Yukon,Females,Zombie attack,Number of potential years of life lost,0.0
2000,Northwest Territories,Both sexes,Unintentional injuries,Number of potential years of life lost,839.0
2001,Northwest Territories,Both sexes,Unintentional injuries,Number of potential years of life lost,670.0
2002,Northwest Territories,Both sexes,Automobile accident,Number of potential years of life lost,402.0
2003,Northwest Territories,Both sexes,Unintentional injuries,Number of potential years of life lost,575.0
2004,Northwest Territories,Both sexes,Unintentional injuries,Number of potential years of life lost,210.0
2005,Northwest Territories,Both sexes,Automobile accident,Number of potential years of life lost,523.0
2006,Northwest Territories,Both sexes,Stroke,Number of potential years of life lost,952.0
2007,Northwest Territories,Both sexes,Unintentional injuries,Number of potential years of life lost,815.0
2008,Northwest Territories,Both sexes,Automobile accident,Number of potential years of life lost,520.0
2009,Northwest Territories,Both sexes,Unintentional injuries,Number of potential years of life lost,648.0
2000,Northwest Territories,Both sexes,Drowning,Number of potential years of life lost,265.0
2001,Northwest Territories,Both sexes,Drowning,Number of potential years of life lost,340.0
2002,Northwest Territories,Both sexes,Drowning,Number of potential years of life lost,350.0
2003,Northwest Territories,Both sexes,Drowning,Number of potential years of life lost,380.0
2004,Northwest Territories,Both sexes,Drowning,Number of potential years of life lost,413.0
2005,Northwest Territories,Both sexes,Drowning,Number of potential years of life lost,150.0
2006,Northwest Territories,Both sexes,Drowning,Number of potential years of life lost,213.0
2007,Northwest Territories,Both sexes,Drowning,Number of potential years of life lost,398.0
2008,Northwest Territories,Both sexes,Drowning,Number of potential years of life lost,420.0
2009,Northwest Territories,Both sexes,Drowning,Number of potential years of life lost,343.0
2000,Northwest Territories,Males,Unintentional injuries,Number of potential years of life lost,530.0
2001,Northwest Territories,Males,Automobile accident,Number of potential years of life lost,448.0
2002,Northwest Territories,Males,Unintentional injuries,Number of potential years of life lost,328.0
2003,Northwest Territories,Males,Unintentional injuries,Number of potential years of life lost,470.0
2004,Northwest Territories,Males,Automobile accident,Number of potential years of life lost,168.0
2005,Northwest Territories,Males,Unintentional injuries,Number of potential years of life lost,495.0
2006,Northwest Territories,Males,Stroke,Number of potential years of life lost,667.0
2007,Northwest Territories,Males,Automobile accident,Number of potential years of life lost,543.0
2008,Northwest Territories,Males,Unintentional injuries,Number of potential years of life lost,300.0
2009,Northwest Territories,Males,Unintentional injuries,Number of potential years of life lost,443.0
2000,Northwest Territories,Males,Drowning,Number of potential years of life lost,265.0
2001,Northwest Territories,Males,Drowning,Number of potential years of life lost,323.0
2002,Northwest Territories,Males,Drowning,Number of potential years of life lost,260.0
2003,Northwest Territories,Males,Drowning,Number of potential years of life lost,380.0
2004,Northwest Territories,Males,Zombie attack,Number of potential years of life lost,343.0
2005,Northwest Territories,Males,Drowning,Number of potential years of life lost,150.0
2006,Northwest Territories,Males,Drowning,Number of potential years of life lost,180.0
2007,Northwest Territories,Males,Drowning,Number of potential years of life lost,303.0
2008,Northwest Territories,Males,Drowning,Number of potential years of life lost,325.0
2009,Northwest Territories,Males,Drowning,Number of potential years of life lost,233.0
2000,Northwest Territories,Females,Automobile accident,Number of potential years of life lost,309.0
2001,Northwest Territories,Females,Unintentional injuries,Number of potential years of life lost,223.0
2002,Northwest Territories,Females,Unintentional injuries,Number of potential years of life lost,75.0
2003,Northwest Territories,Females,Automobile accident,Number of potential years of life lost,105.0
2004,Northwest Territories,Females,Unintentional injuries,Number of potential years of life lost,43.0
2005,Northwest Territories,Females,Unintentional injuries,Number of potential years of life lost,28.0
2006,Northwest Territories,Females,Automobile accident,Number of potential years of life lost,285.0
2007,Northwest Territories,Females,Stroke,Number of potential years of life lost,272.0
2008,Northwest Territories,Females,Unintentional injuries,Number of potential years of life lost,220.0
2009,Northwest Territories,Females,Automobile accident,Number of potential years of life lost,205.0
2000,Northwest Territories,Females,Drowning,Number of potential years of life lost,0.0
2001,Northwest Territories,Females,Drowning,Number of potential years of life lost,18.0
2002,Northwest Territories,Females,Drowning,Number of potential years of life lost,90.0
2003,Northwest Territories,Females,Drowning,Number of potential years of life lost,0.0
